時間戳記,母語,外語,外語流利,年齡,聯想名詞,感覺,聯想形容詞
5/14/2023 21:11:47,中文,English,4,15-19,鮪魚 鮭魚 海藻 海龜 船,正面 Positive,冰冷的 深藍的
5/14/2023 21:14:40,中文,English,4,20-24,"1.真珠美人魚 
2.海豚
3.海綿寶寶
4.船
5.漩渦🌀",正面 Positive,1.舒服 2.廣闊 3.刮起風來有點恐怖
5/14/2023 21:14:48,中文,English,5,15-19,"水
藍天
沙灘
海風
水光",正面 Positive,"平靜
遼闊
湛藍
波光粼粼
沁涼"
5/14/2023 21:14:59,中文,English,5,20-24,海洋、海灘、海鮮、海產、海砂,正面 Positive,無限、慈祥、平和、遼闊、無窮
5/14/2023 21:15:46,中文,English,4,15-19,藍色、沙、船、夏天、海浪,正面 Positive,廣大的
5/14/2023 21:16:31,中文,English,6,20-24,藍色 冰涼 鹹鹽 海浪 快樂,中性 Neutral,清澈 清涼 湛藍 安定 舒爽
5/14/2023 21:17:15,中文,English,5,30↑,water， fish， turtle，swimmer，surffing,正面 Positive,cold，deep，blue，far，furious
5/14/2023 21:18:21,中文,English,5,15-19,藍色 沙灘 魚 陽光 船,正面 Positive,廣闊的 藍色的 波動的 包容的 危險的
5/14/2023 21:19:58,中文,English,4,20-24,衝浪 海浪 波光 藍色 陽光,正面 Positive,寧靜 開放 自由 神秘 浪漫
5/14/2023 21:20:24,中文,English,5,25-29,海水 陽光 沙灘 比基尼 辣妹,中性 Neutral,藍 深 遠 大 寬
5/14/2023 21:22:08,中文,English,4,15-19,藍色 鹹味 石頭 天空 海風,正面 Positive,深沉的 難以捉摸的 廣闊的 冰涼的 寒冷的
5/14/2023 21:22:49,中文,中文,7,20-24,海洋 沙灘 藍色 海水 浪花,正面 Positive,藍色 白色 平靜 漂亮 洶湧
5/14/2023 21:23:57,中文,English,5,20-24,放鬆、自由、藍色、沙灘、比基尼,正面 Positive,開闊、自由、休閒、閃亮、性感
5/14/2023 21:24:51,中文,中文,7,15-19,沙灘 海浪 太陽 樹 煙火,中性 Neutral,大的 神祕的 豐富的 深的 黑的
5/14/2023 21:25:24,中文,中文,4,15-19,"Sea, ocean, marine, fish, blue",正面 Positive,"Peace, blue, cool, beautiful, sunny "
5/14/2023 21:26:07,中文,English,4,20-24,螺 魚 水母 船 珊瑚 ,中性 Neutral,廣大 深邃 蔚藍 繽紛 冰涼
5/14/2023 21:27:11,中文,English,5,15-19,自由,正面 Positive,遼闊的
5/14/2023 21:28:44,中文,English,5,20-24,"海洋
大海
海水
海灘
海浪",中性 Neutral,"寬廣
遼闊
藍色
清澈
冰涼"
5/14/2023 21:29:24,中文,English,5,15-19,水 藍色 魚 漣漪 波浪,正面 Positive,閃閃發光的 漂亮的 平和的 沉靜的 撫慰人心的
5/14/2023 21:30:37,中文,English,5,20-24,船 漁夫 貿易 海豚 魚,正面 Positive,廣闊 湛藍 鹹 無涯 陰森
5/14/2023 21:30:39,中文,English,5,20-24,海浪、沙灘、海風、海洋、海鮮,正面 Positive,蔚藍
5/14/2023 21:30:39,中文,English,5,15-19,太平洋、消波塊、生態、漁業、船,中性 Neutral,藍色、寧靜、廣闊、危險、一望無際
5/14/2023 21:30:40,中文,English,4,20-24,砂礫、自由、藍天、青春、岸邊,正面 Positive,寧靜的、包容的、清澈的、雋永的、懷念的
5/14/2023 21:30:49,中文,English,7,15-19,Beach Waves Fish Ships Coral,中性 Neutral,Vast: Referring to the immense size and expanse of the sea.
5/14/2023 21:34:56,中文,English,3,20-24,太陽、沙灘、魚、螃蟹、船,正面 Positive,藍色的、涼爽的、舒服的、美麗的、鹹的
5/14/2023 21:36:20,中文,English,5,20-24,大海 海苔 海浪 うみ 海的對面是敵人,正面 Positive,遼闊
5/14/2023 21:36:51,中文,English,6,20-24,夏天 假期 曬傷 探險 秘密基地,正面 Positive,寧靜 神秘 興奮 好奇 清澈
5/14/2023 21:44:13,中文,中文,3,15-19,海鷗、魚、沙灘、陽光、海風,正面 Positive,藍色的、鹹鹹的、寬闊的、包容的、平靜的
5/14/2023 21:45:42,中文,English,4,20-24,"藍色
沙灘
海星
海龜
浪花",正面 Positive,"美麗
明亮
快樂
青澀
未知"
5/14/2023 21:51:36,中文,English,2,20-24,國小，海風，奶奶老家，沙子，日落,中性 Neutral,冰、藍、鹹、苦、閃爍
5/14/2023 21:53:50,中文,English,5,20-24,海鷗、海豚、鯨魚、漁船、沙灘,正面 Positive,藍色的、清澈的、冰冷的、鹹的、熱的（天氣）
5/14/2023 21:56:40,中文,English,6,20-24,魚 企鵝 海鮮 水 浪,中性 Neutral,平靜 憂鬱 波掏洶湧 風起雲湧 浩瀚
5/14/2023 21:58:48,中文,English,5,20-24,藍色 泡泡 魚 島 鹽,中性 Neutral,大的 漂亮的 危險的
5/14/2023 22:05:19,中文,English,5,20-24,魚 沙 船 貝殼 海巡署,中性 Neutral,藍 寬廣 一望無際
5/14/2023 22:09:26,中文,English,4,25-29,大海 藍色 平靜 海風 廣闊,正面 Positive,廣大的 美麗的 舒服的 舒壓的 永續的
5/14/2023 22:11:21,中文,English,7,20-24,水、海浪、白噪音、生命、夕陽,正面 Positive,平靜、涼爽、放鬆、舒適、美麗
5/14/2023 22:14:51,中文,English,5,20-24,海豚、海洋、海豹、船、波浪,正面 Positive,廣闊、藍色、深、美麗、神秘
5/14/2023 22:16:16,中文,English,5,20-24,藍、水、波賽頓、波浪、法蘭克薛慶,中性 Neutral,廣大、湛藍、未知、狂野、深
5/14/2023 22:20:14,中文,English,5,15-19,海龜、陽光、沙灘、巨齒鯊、比基尼,正面 Positive,未知、寧靜、深邃、湛藍、絢麗
5/14/2023 22:21:50,中文,English,5,20-24,波浪、海嘯、波妞、魚、海浪聲,中性 Neutral,危險的、美麗的、廣闊的、蔚藍的、閃亮的
5/14/2023 22:24:36,中文,English,5,20-24,海產,正面 Positive,遼闊
5/14/2023 22:30:59,中文,English,4,20-24,海闊天空 海王 海海人生 海星 海啊,正面 Positive,汪洋的 藍藍的
5/14/2023 22:32:44,中文,English,5,15-19,海洋、海鮮，海軍、海王、海南雞飯,中性 Neutral,藍色、廣闊、清涼、危險、未知
5/14/2023 22:36:59,中文,中文,4,20-24,進擊的巨人、墾丁、北海岸、澎湖、海鮮,正面 Positive,舒服、放鬆、沉穩、神秘、安靜
5/14/2023 22:46:12,中文,English,4,20-24,藍色、紋路、鳥、沙灘、夏天,正面 Positive,寧靜的、廣闊的、無限的、平和的、舒服的
5/14/2023 22:51:06,中文,English,5,15-19,海浪、海風、浪聲、鹹、平靜,正面 Positive,包容的、溫柔的、廣闊的、蔚藍的、無私的
5/14/2023 23:00:15,中文,English,4,20-24,目的地 地點 世界 藍色 生物,中性 Neutral,藍色的 大的 漂亮的 安靜的 永恆的
5/14/2023 23:00:28,中文,English,4,15-19,"海哭的聲音
沙灘
美女
比基尼
敵人",正面 Positive,自由
5/14/2023 23:06:34,中文,中文,3,15-19,藍色、鹽、天空、船、魚,中性 Neutral,藍藍的、鹹鹹的、深的、多樣的、漂亮的
5/14/2023 23:09:11,中文,English,5,20-24,海鷗、海豚、藍色、泡沫、鯨魚,中性 Neutral,大、冷、深、可怕、難以預測
5/14/2023 23:12:51,中文,English,5,20-24,白雲 大自然 陽傘 椰子樹 沙灘,正面 Positive,舒適 愉快 放鬆 熱情 享受
5/14/2023 23:14:28,中文,English,5,20-24,生命、起源、和平、消融、毀滅,中性 Neutral,寧靜的、包容的、深不可測的、流動的、窒息的
5/14/2023 23:18:32,中文,English,3,20-24,魚、海鮮、珊瑚、海龜、泡泡,正面 Positive,藍、深、神秘、大、未知
5/14/2023 23:23:43,English,中文,6,15-19,"blue, water, sun, beach, salt",正面 Positive,"fun, refreshing, exciting, calm, peaceful "
5/14/2023 23:27:47,中文,English,5,15-19,大海、那年夏天寧靜的海、海波浪、人生海海、淚海,正面 Positive,靜謐、廣袤、悠然
5/14/2023 23:27:55,中文,English,6,20-24,水 鹽 魚 沙子 海草,正面 Positive,鹹 大 廣 藍 冰
5/14/2023 23:30:44,中文,中文,7,15-19,浪漫、夕陽、遼闊、自由、包容、溫暖、危險,正面 Positive,廣闊的、能治癒的、令人嚮往的、浪漫的、沈穩的
5/14/2023 23:37:15,中文,English,4,20-24,夏天 島嶼 海浪 海的味道 風,正面 Positive,藍色的 放鬆的 自在的 悠閒的 深邃的
5/14/2023 23:38:04,中文,中文,3,20-24,島嶼、海灘、海浪、海龜、海豹,中性 Neutral,平靜、洶湧、危險、廣闊、沉穩
5/14/2023 23:41:52,中文,中文,7,20-24,大海，海浪，泡沫，藍色，沙灘,正面 Positive,平靜
5/14/2023 23:43:46,中文,English,6,20-24,海洋 海霸王 海峽 海岸 海王,正面 Positive,平靜 一望無際 海藍色
5/14/2023 23:46:16,中文,English,2,20-24,海之聲、海龍王、聽海哭的聲音、人生海海、海蟄皮、海生館、海獅會害怕,正面 Positive,海洋、海王、海味、海鹽、海生
5/14/2023 23:46:30,中文,English,5,20-24,廣闊，藍色，鹹，魚，大,正面 Positive,寬，大，藍，危險，平靜
5/14/2023 23:46:54,中文,English,5,15-19,藍、清澈、幸福、鳥、沙灘,正面 Positive,快樂的、流動的、透明的、深不可測的、廣大的
5/14/2023 23:49:43,中文,English,5,20-24,"藍色
波浪
自由
船
沙灘",正面 Positive,"漂亮的
危險的
引人入迷的"
5/14/2023 23:53:48,中文,English,5,15-19,藍色、太陽、鯨魚、潛水艇、比基尼,正面 Positive,鹹的、神秘的、包容的、危險的、有吸引力的
5/14/2023 23:54:15,中文,English,5,15-19,藍色，船，風，海浪，沙灘,正面 Positive,平靜的，狂暴的，廣袤無邊的，陰柔的，母性的
5/14/2023 23:55:26,中文,English,5,20-24,海浪 太陽 夏天 游泳圈 泳衣,正面 Positive,藍色的 涼爽的 開心的 有趣的 好玩的
5/14/2023 23:56:01,中文,English,4,20-24,水 船 魚 環境 地球,中性 Neutral,自由的 無盡的 蔚藍的 波光粼粼的 不確定的
5/15/2023 0:01:36,中文,English,5,20-24,水 遊客 沙灘 假期 攤販,正面 Positive,蔚藍 寧靜 清澈 浩瀚 包容
5/15/2023 0:03:00,中文,English,5,20-24,航行、遠洋、近海、魚、蝦,中性 Neutral,寬廣、蔚藍、物種豐富、一望無際、波光粼粼
5/15/2023 0:03:49,中文,English,6,15-19,湛藍色、生命、神靈、潮汐、艾克曼螺旋,中性 Neutral,寧靜祥和的、廣袤無垠的、神秘的、蔚藍的、波瀾壯闊的
5/15/2023 0:16:05,中文,English,4,15-19,海王 海軍 海洋 海邊 海岸,正面 Positive,廣大的 包容的 花心的  湛藍的 放鬆的
5/15/2023 0:23:30,中文,中文,7,20-24,"海洋
海鮮
海星
海膽
海王",中性 Neutral,"風大
藍色
渣
愛釣魚
色"
5/15/2023 0:26:47,中文,English,7,20-24,水、海浪、鹽、比基尼、沙灘,中性 Neutral,冰冷、混亂、寧靜、危險、深邃
5/15/2023 0:36:45,中文,English,2,20-24,海洋，海水，海鷗，海邊，海風,中性 Neutral,自由，放鬆，舒服，迷茫，漂亮
5/15/2023 0:51:31,中文,English,6,20-24,"Ship, beach, 海洋, ocean, swim, sea turtles ",正面 Positive,"Big, blue, good, endless, vast"
5/15/2023 0:59:33,中文,English,5,20-24,海洋、海灘、海草、海豚、海星,正面 Positive,廣闊、深、藍色、明亮、一望無際
5/15/2023 1:05:52,中文,English,2,20-24,藍色 海浪 白色 沙灘 貝殼,正面 Positive,平靜的 快樂的
5/15/2023 1:06:46,中文,English,5,20-24,藍色、自由、鴿子、游泳、人,正面 Positive,浪漫的、蔚藍的、和平的、廣大的、自由的
5/15/2023 1:07:18,中文,English,3,20-24,獨木舟 衝浪板 海浪 浪花 天空,正面 Positive,開闊的 無常的 深邃的 湛藍的 包容的
5/15/2023 1:16:57,中文,English,5,20-24,water salt sand sky paradise,正面 Positive,blue deep wide relax happy
5/15/2023 1:21:06,中文,閩南語,2,20-24,1. 燈塔水母 2.中央脊 3.瓦憂瓦憂島 4.墳場 5.沙丘,中性 Neutral,那個我一直無法正視的 、那裡原來你一直都在的、有種好想就這樣跳進去的 、 畢竟我已經沒有容身之地的 、 這裡已經是世界盡頭的 
5/15/2023 1:28:35,中文,English,5,15-19,海浪、潮汐、波浪、海洋、水,中性 Neutral,湛藍、冰冷、蔚藍、平靜
5/15/2023 1:40:37,中文,English,5,20-24,心情 污染 藍色 海豚 鯨魚,中性 Neutral,藍色的 廣大的 危險的 美麗的 包容的
5/15/2023 1:59:46,中文,English,5,20-24,浪花、粼光、海浪聲、青春,正面 Positive,永恆、可靠、包容、沉靜、神秘
5/15/2023 2:21:17,English,中文,5,20-24,"ocean
fish
ship
boat
wave",中性 Neutral,"blue
wet
vast
large
clean"
5/15/2023 2:23:20,中文,English,4,20-24,沙灘、晴天、海浪、椰子樹、陽傘,正面 Positive,無邊際的、深的、平靜的、鹹的、廣闊的
5/15/2023 7:36:05,中文,English,5,25-29,"海洋
海鮮
海選
海島
海景",中性 Neutral,"海派
海闊天空
海海（人生）（其實這算臺語吧？）
跨海
海外"
5/15/2023 7:40:23,English,中文,7,25-29,"waves, vibrations, water, freedom, life",正面 Positive,"Vast, powerful, peaceful, free, rough"
5/15/2023 7:42:32,中文,English,5,25-29,海鮮、水、鹽、沙灘、港口,中性 Neutral,平靜、安詳、廣闊、深不可測、自由
5/15/2023 7:47:01,中文,English,4,15-19,工海、海關、海洋、海豚、海水,中性 Neutral,遼闊、包容、流動
5/15/2023 7:48:34,中文,English,7,20-24,"ocean, waves, water, beach, sea foam",中性 Neutral,"deep, transparent, blue, serenity, roaring"
5/15/2023 8:40:17,中文,English,4,20-24,舒服 海風 海浪 沙灘 味道,正面 Positive,藍色的 清爽的 海風鹹鹹的 有聲音的 壯觀的
5/15/2023 9:17:09,中文,English,5,15-19,珍珠、海豚、珊瑚、沙灘、白色,正面 Positive,安靜的、洶湧的、神秘的、浪漫的、詭譎的
5/15/2023 9:24:47,中文,English,4,20-24,海納百川、暗潮洶湧、驚濤駭浪、海海人生、浪花,正面 Positive,無邊無際、海闊天空、海誓山盟、滄海桑田、天涯海角
5/15/2023 9:36:52,English,中文,6,20-24,"fish, coral, boat, beach, seaweed",中性 Neutral,"alluring, endless, melancholy, mysterious, vast"
5/15/2023 9:51:56,中文,English,3,15-19,無邊際、廣闊、湛藍、深、,中性 Neutral,廣闊的
5/15/2023 9:53:12,中文,English,5,20-24,大自然、藍色、海象、研究船、生態系,正面 Positive,寬廣、強大、美麗、寧靜、自由
5/15/2023 10:00:03,中文,English,1,15-19,敵人（進巨）、 無邊無際、深不可測,中性 Neutral,廣闊的
5/15/2023 10:04:46,中文,English,4,15-19,浪花、沙灘、魚、漩渦、藍色,正面 Positive,平靜、沈默、深不見底、磅礴、有活力
5/15/2023 10:15:29,中文,English,6,20-24,海洋、海浪、海灘、海邊、海岸,正面 Positive,藍色、溫柔、陽光、鹹、無際
5/15/2023 10:15:54,中文,English,5,20-24,文學 沙灘 海鹽 地球上最大的水體 海洋污染,中性 Neutral,很廣闊 很藍 很冰
5/15/2023 11:05:53,中文,English,5,15-19,"夕陽
海風
魚船
海港
釣魚阿伯",正面 Positive,"平靜
廣袤
舒緩
深沈
湛藍"
5/15/2023 11:18:44,中文,English,6,15-19,海浪 海灘 泳衣 海鷗 夕陽,中性 Neutral,柔軟 包容 刺激 危險 浪漫
5/15/2023 11:26:01,中文,English,5,20-24,沙灘 海浪 岩石 消波塊 螃蟹,中性 Neutral,藍色 狂野
5/15/2023 11:29:59,English,中文,7,20-24,"unknown, water, salt, moana, seagulls",正面 Positive,"salty, fresh, blue, peaceful, dirty"
5/15/2023 11:35:02,中文,English,4,15-19,水、鹽、船、魚、雨,中性 Neutral,鹹
5/15/2023 11:46:06,中文,None,7,20-24,車子、核災、海岸、懸崖、貝殼,中性 Neutral,藍色的、危險的、美麗的、寬闊的、夢幻的
5/15/2023 12:07:45,中文,English,5,20-24,藍色、漁光島、晴天、火車、水,正面 Positive,平靜、悠閒、舒適、溫暖、快樂
5/15/2023 12:22:03,中文,English,5,20-24,Sea ocean surfing shell nail,正面 Positive,Lightly happy joyful salty hot
5/15/2023 12:27:59,中文,English,3,20-24,小海豚、海龜、天際線、夕陽、浪花,正面 Positive,湛藍的、無際的、廣大的、未知的、神秘的
5/15/2023 12:37:20,中文,English,3,15-19,鹽、浪、地平線、石頭、貝殼,正面 Positive,鹹、溫暖、安心、多變、沁涼
5/15/2023 12:46:23,中文,English,4,15-19,波浪 藍色 泡 聲音 海鷗,中性 Neutral,廣闊 沉靜 悠閒 緩慢 舒坦
5/15/2023 12:54:14,中文,English,5,20-24,海浪 島嶼 海灘 夕陽 沙灘,正面 Positive,平靜的 寬廣的 包容 安穩 深不可測的
5/15/2023 13:18:16,中文,English,5,20-24,藍天,中性 Neutral,廣闊
5/15/2023 13:28:30,中文,English,7,15-19,海鷗 沙灘 天空 魚 螃蟹,正面 Positive,柔和 鹹 舒服 穩定 深沉
5/15/2023 13:40:23,中文,English,5,15-19,藍色、家鄉、睡覺、咖啡廳、石頭,正面 Positive,平靜、安心、放鬆、懷念、想睡覺
5/15/2023 13:44:53,中文,English,5,20-24,海浪、沙灘、魚、船、游泳,正面 Positive,藍色的、平靜的、寬闊的、療癒的、神秘的
5/15/2023 13:50:32,中文,English,4,20-24,浪、深度、死亡、沙灘、窒息,中性 Neutral,深沈、黑暗、平靜、藍
5/15/2023 14:20:01,中文,English,4,20-24,山 沙灘 海浪 夕陽 船,中性 Neutral,平靜 廣大 蔚藍 
5/15/2023 14:21:06,中文,English,4,20-24,海洋、海邊、海量、海生、地中海,中性 Neutral,寧靜、遼闊、多元、藍色、洶湧
5/15/2023 14:24:38,English,中文,6,20-24,"Ship, seaside, seafood, navy, fish",中性 Neutral,"Salty, deep, dangerous, windy, wide"
5/15/2023 14:24:39,中文,English,4,20-24,魚 天空 浪花 風 鹽,正面 Positive,寬闊 深沉 自由 冷 狂暴
5/15/2023 14:24:56,中文,English,5,15-19,家人朋友、衝浪板、沙灘、遮陽帽、太陽,正面 Positive,藍的、寬廣的、平靜的、充滿生命力的、原始的
5/15/2023 14:26:54,中文,English,3,20-24,海鮮、海灘、夕陽、衝浪、浮潛,正面 Positive,蔚藍、淡藍、碧綠、湛藍、黛青
5/15/2023 14:55:01,中文,English,5,20-24,自由、珊瑚、陽光、海浪、憂鬱,正面 Positive,湛藍、清澈、遼闊、自在、炎熱
5/15/2023 14:59:44,中文,English,5,15-19,浪花 沙灘 魚 衝浪 船,中性 Neutral,藍色 廣闊 深 平靜 有力量的
5/15/2023 15:11:05,中文,English,6,20-24,海浪 海邊 海王 海風 海軍,正面 Positive,無邊無際的 隨意的
5/15/2023 15:40:53,中文,English,5,20-24,海岸，海鷗，沙灘，珊瑚，海豚,正面 Positive,放鬆，舒壓，愉悅，快樂，健康
5/15/2023 15:44:22,中文,English,5,20-24,浪花，海灘，貝殼，大自然,正面 Positive,藍色，自由，一望無際，包容
5/15/2023 15:47:23,中文,English,5,20-24,海牛 海狗 海獅 海豹 海象,正面 Positive,藍 鹹 大
5/15/2023 16:06:32,English,中文,3,20-24,"Caribbean, Poseidon, water, dolphins, tropical fish",正面 Positive,"Powerful, peaceful, blue relaxing , beautiful "
5/15/2023 16:37:45,中文,English,4,20-24,藍色 陽光 島 沙灘 水,正面 Positive,涼爽的 美麗的 乾淨的 透明的 閃亮的
5/15/2023 16:41:10,中文,English,5,15-19,回憶 夏日 Free! 泳裝 遙,正面 Positive,自由 美麗 蔚藍 永恆 包容
5/15/2023 16:45:09,中文,English,2,25-29,魚，船，燈塔，沙灘，波浪,中性 Neutral,遙遠的，廣闊的，蔚藍的，放鬆的，悠閒的
5/15/2023 16:57:31,中文,English,5,15-19,浪、陽光、海風、沙子、飲料,正面 Positive,藍色的、鹹的、熱的、放鬆的、很曬
5/15/2023 17:01:00,中文,English,3,20-24,海鮮 海嘯 海洋 海灘 海豹,正面 Positive,廣闊的 蔚藍的 神祕的 恐怖的 未知的
5/15/2023 18:40:52,中文,English,3,20-24,沙灘 海浪 風 浪花 浮板,正面 Positive,熱 濕 鹹 陽光 熱情
5/15/2023 19:25:23,中文,None,7,20-24,蔚藍、天空、沙灘、太陽、波浪,正面 Positive,舒服的、放鬆的、柔和的、搖晃的、無垠的
5/15/2023 19:27:30,中文,English,5,20-24,天空、藍色、石頭、沙、波浪,正面 Positive,廣闊、遙遠、安靜、悠閒、安詳
5/15/2023 19:42:10,中文,English,5,15-19,天、藍色、波浪、船、海平面,正面 Positive,寬闊、平坦、舒暢
5/15/2023 19:56:41,中文,None,4,20-24,海洋 海獸 廖鴻基 大堡礁 紅豬,中性 Neutral,寬廣的 異質的 不可測量的 深刻的 豐富的
5/15/2023 20:13:20,中文,English,5,20-24,哭/貝殼/自殺/夕陽/沙子,負面 Negative,鹹/濕/冷
5/15/2023 21:44:24,中文,English,4,15-19,珊瑚、海浪、泡沫、水、沙灘,中性 Neutral,湛藍、溫柔、危險、美麗、漂亮
5/15/2023 21:49:45,中文,English,5,15-19,寧靜、沈靜、平靜、靜謐、花蓮,正面 Positive,平靜的、深沈的、神秘的、浪漫的、沈淪的
5/15/2023 21:50:27,中文,English,5,15-19,平靜、眷戀、曖昧、包容、想念,中性 Neutral,內斂的、含蓄的、美好的
5/15/2023 22:44:44,中文,English,5,20-24,藍色、水、沙灘、陽光、浪花、衝浪、潛水,正面 Positive,放鬆、涼爽、快樂、滿足、享受
5/16/2023 1:17:22,中文,English,4,20-24,海洋 海龜 船 船長 動漫 卡通 電影 畫面 花東 藝術 生活 空間 時間 思緒 海浪 風帆 暴風 氣壓 天氣 氣候 意外 未知世界 冒險 挑戰,正面 Positive,藍色 綠色 廣大 未知 吞噬（對不起這是動詞但是好想寫..）美麗 深奧 好奇 奇妙 渺小 
5/16/2023 1:57:40,中文,English,5,20-24,山 水 船 沙灘 陽光,中性 Neutral,大 藍 冷 深 美
5/16/2023 11:09:46,中文,English,2,15-19,海,中性 Neutral,廣大的
5/16/2023 11:27:52,中文,English,4,25-29,波浪、潮汐、海嘯、潛水、夕陽,正面 Positive,悠閒、輕鬆、愉快、嬉笑、自由
5/16/2023 12:51:47,中文,English,5,15-19,海綿寶寶，派大星，章魚哥，小蝸，蟹老闆,正面 Positive,深藍的，快樂的，平靜的，童趣的，溫柔的
5/16/2023 13:48:20,中文,English,4,20-24,海牛,中性 Neutral,仁慈的
5/16/2023 23:59:44,English,中文,6,20-24,"Ocean, swim, beach, wind, seagulls",中性 Neutral,"Calm, relaxing, cold, wet, tranquil"
5/17/2023 1:20:07,中文,None,7,20-24,海洋 海生 海星 海豚 海豹,正面 Positive,藍色的 廣闊的 無際的 多樣性的 未知的
5/17/2023 7:48:48,中文,English,5,15-19,水、沙灘、寄居蟹、衝浪、椰子樹,中性 Neutral,湛藍、廣闊、張牙舞爪、風平浪靜、熱
5/17/2023 10:17:07,中文,English,4,15-19,魚、水、藍色、海灘、游泳圈,正面 Positive,廣大的、閃亮的、遼闊的、無垠的、寧靜的
5/17/2023 11:42:21,中文,English,6,20-24,貝殼、泳圈、波浪、沙灘、鯨魚,中性 Neutral,蔚藍的、深藍的、危險的、放鬆的、憂鬱的
5/17/2023 12:03:18,中文,English,5,25-29,海豚、沙灘、陽光、海鷗、海浪,正面 Positive,寬廣的、舒適的、放鬆的
5/17/2023 13:57:30,中文,English,4,25-29,海浪、沙灘、船、魚、珊瑚,正面 Positive,藍色的、鹹鹹的、清涼的、洶湧的、一望無際的
5/17/2023 18:41:43,中文,中文,6,20-24,浪花、燈塔、沙灘、海風、礁石、夕陽,正面 Positive,寧靜、廣闊、無常、清澈、傷痕累累
5/17/2023 19:57:28,中文,English,5,25-29,鹹味，魚，沙灘，烏龜，海風,正面 Positive,自由的，廣闊的，藍色的，深的，包容的
5/17/2023 20:40:56,中文,English,4,20-24,沙灘、夕陽、海豚、海風、海水,正面 Positive,涼爽的、潮濕的、壯闊的、湛藍的、無遠弗屆的
5/17/2023 21:19:10,中文,English,4,20-24,海浪 沙灘,正面 Positive,放鬆
5/17/2023 21:21:52,中文,English,5,25-29,比基尼 沙灘  排球,正面 Positive,藍色  洶湧
5/17/2023 21:23:30,中文,English,2,30↑,魚  船  水上摩托車  ,中性 Neutral,浩瀚
5/17/2023 21:25:00,中文,English,4,25-29,海浪  海風 海狗 海豹,正面 Positive,廣大  藍色的
5/17/2023 21:26:22,中文,English,5,25-29,渡輪  郵輪  漁船,中性 Neutral,無邊無際
5/17/2023 21:27:55,中文,English,4,25-29,魚 蝦 螃蟹  貝類,正面 Positive,放鬆 舒服 療育
5/18/2023 0:08:19,中文,English,6,15-19,海星、救生圈、黑潮、海難、生命,正面 Positive,藍、深、清澈、深邃、一望無際
5/18/2023 18:20:22,中文,None,4,20-24,海浪 沙灘 海鮮 鹽巴 ,中性 Neutral,藍色 鹹鹹的 
5/18/2023 22:53:36,中文,English,5,25-29,海浪、海水、魚、藤壺、礁石,中性 Neutral,廣闊的、藍的、無限的、壯觀的
5/19/2023 9:46:22,中文,English,3,20-24,海洋 海鮮 海景 渡假 放送,正面 Positive,休閒的 放鬆的 舒緩的
5/20/2023 11:19:53,中文,English,3,25-29,"海產 seafood
浴缸 bathtub
美人魚 mermaid
水 water
主權 sovereignty",中性 Neutral,"吵雜 noisy
大 large
藍 blue
清澈的 clean
窒息的 suffocating"
5/21/2023 11:38:07,中文,English,5,20-24,海洋,正面 Positive,廣闊
5/22/2023 15:48:15,English,中文,4,20-24,"boat, shore, home, wave, salt",正面 Positive,"windy, beautiful, nostalgic, calm, rough"
5/22/2023 16:00:10,中文,None,7,15-19,山 沙灘 藍色 船 景色,正面 Positive,酷涼的 壯觀的 遼闊的 蔚藍的 規律的
5/22/2023 21:13:47,English,None,1,20-24,"beach, sand, warm, sun, peaceful",正面 Positive,"warm, loud, bright, windy, hot "
5/22/2023 21:16:13,English,中文,2,15-19,"wave, fish, shanty, jellyfish, salt",正面 Positive,"blue, pretty, sparkly, peaceful, bright"
5/22/2023 21:18:16,English,中文,3,15-19,"wave, ocean, sun, foam, shore",正面 Positive,"blue, bright, nature, fresh, wonder"
5/22/2023 21:39:56,English,Spanish,4,20-24,"water, boat, sunset, ocean, fish",中性 Neutral,"large, deep, cold, quiet, empty"
5/23/2023 3:52:13,English,中文,4,20-24,"
water, melancholia, explorer, ship, island",中性 Neutral,"Blue, profound, vast, deep, dark"
5/24/2023 2:31:34,中文,English,6,15-19,"Boats, saline, seagull, wave, beach",中性 Neutral,"Wavy, large, vast, rough, cold"
5/24/2023 22:59:12,English,None,7,30↑,"Wallet, phone, tree, lake, burger ",正面 Positive,"Blue, cold, wet, salty, wavy"
5/25/2023 1:05:26,English,None,1,20-24,"Shiver, Fish, Ocean, Depths, Underwater",中性 Neutral,"Cold, wet, serene, noisy, scary"